Price,Close,High,Low,Open,Volume
Ticker,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI
Date,,,,,
2019-01-02,10580.1904296875,10612.7197265625,10386.9697265625,10477.76953125,79626700
2019-01-03,10416.66015625,10538.66015625,10400.1103515625,10467.1103515625,84733800
2019-01-04,10767.6904296875,10786.33984375,10483.900390625,10533.9404296875,95339500
2019-01-07,10747.8095703125,10814.4697265625,10681.26953125,10814.3896484375,71151400
2019-01-08,10803.98046875,10910.7099609375,10745.0302734375,10750.1904296875,93672200
2019-01-09,10893.3203125,10961.919921875,10839.08984375,10884.75,96071900
2019-01-10,10921.58984375,10927.1298828125,10788.0498046875,10843.8896484375,77255600
2019-01-11,10887.4599609375,10959.0,10829.919921875,10949.1298828125,75537200
2019-01-14,10855.91015625,10886.23046875,10786.75,10820.849609375,65945800
2019-01-15,10891.7900390625,10994.830078125,10812.58984375,10962.9501953125,80197500
2019-01-16,10931.240234375,10947.8701171875,10866.3896484375,10940.3603515625,79810600
2019-01-17,10918.6201171875,10929.2998046875,10822.25,10852.5,79327000
2019-01-18,11205.5400390625,11216.8203125,10993.830078125,11001.3095703125,119133600
2019-01-21,11136.2001953125,11179.91015625,11125.5302734375,11176.1201171875,65955200
2019-01-22,11090.1103515625,11142.2197265625,11034.5498046875,11076.98046875,73446100
2019-01-23,11071.5400390625,11135.75,11007.2099609375,11043.6396484375,87752900
2019-01-24,11130.1796875,11149.3203125,11032.5302734375,11045.6396484375,110548100
2019-01-25,11281.7900390625,11321.6201171875,11218.349609375,11234.0498046875,99999800
2019-01-28,11210.3095703125,11275.2099609375,11196.419921875,11233.16015625,73121100
2019-01-29,11218.830078125,11276.2802734375,11159.169921875,11191.51953125,75129000
2019-01-30,11181.66015625,11215.2099609375,11132.3798828125,11210.6796875,73630500
2019-01-31,11173.099609375,11311.3701171875,11051.1103515625,11257.919921875,111945200
2019-02-01,11180.66015625,11218.509765625,11116.080078125,11198.4599609375,101700800
2019-02-04,11176.580078125,11209.3095703125,11100.33984375,11180.419921875,74165400
2019-02-05,11367.98046875,11371.740234375,11177.7001953125,11178.75,89418800
2019-02-06,11324.7197265625,11347.9404296875,11297.419921875,11337.5400390625,75894800
2019-02-07,11022.01953125,11286.4599609375,11022.01953125,11262.9697265625,108021800
2019-02-08,10906.7802734375,11045.41015625,10863.5595703125,10991.7900390625,102300800
2019-02-11,11014.58984375,11041.9501953125,10944.580078125,10955.830078125,69553100
2019-02-12,11126.080078125,11164.3798828125,11116.8603515625,11123.4296875,74843600
2019-02-13,11167.2197265625,11217.2998046875,11125.58984375,11174.849609375,69772400
2019-02-14,11089.7900390625,11260.5498046875,11077.7802734375,11257.7998046875,83384200
2019-02-15,11299.7998046875,11323.0498046875,11018.9501953125,11044.7998046875,105640900
2019-02-18,11299.2001953125,11318.1904296875,11256.26953125,11287.740234375,55484300
2019-02-19,11309.2099609375,11371.4404296875,11244.51953125,11280.73046875,67147500
2019-02-20,11401.9697265625,11437.4697265625,11318.740234375,11338.740234375,71844800
2019-02-21,11423.2802734375,11454.4404296875,11392.26953125,11448.650390625,77779400
2019-02-22,11457.7001953125,11504.7099609375,11420.740234375,11422.6201171875,66893800
2019-02-25,11505.3896484375,11544.3095703125,11480.490234375,11517.759765625,69949900
2019-02-26,11540.7900390625,11556.8701171875,11441.8701171875,11446.2900390625,74034400
2019-02-27,11487.330078125,11521.2197265625,11442.9697265625,11493.8095703125,84265200
2019-02-28,11515.6396484375,11524.990234375,11416.080078125,11430.7998046875,84129900
2019-03-01,11601.6796875,11676.8603515625,11583.080078125,11584.240234375,72715100
2019-03-04,11592.66015625,11650.4404296875,11591.740234375,11646.2099609375,58412600
2019-03-05,11620.740234375,11627.7802734375,11551.4501953125,11570.9697265625,63643000
2019-03-06,11587.6298828125,11652.76953125,11565.2197265625,11593.2099609375,65204400
2019-03-07,11517.7998046875,11612.9501953125,11452.8603515625,11546.419921875,99533100
2019-03-08,11457.83984375,11475.5498046875,11405.2099609375,11429.76953125,81946100
2019-03-11,11543.48046875,11550.58984375,11462.900390625,11497.98046875,71575600
